company_number_pr,boricua_corp_name,model_data_global_parent_bvdid,parent_company_name,parent_country_iso_code,parent_state,filial_operating_revenue_max_eur_th
1-412,"CUMIS INSURANCE SOCIETY, INC",US390230590,CMFG LIFE INSURANCE CO.,US,WI,4933444.213013
7-1532,PEÑUELAS TECHNOLOGY PARK LLC,US301128146,DOW INC.,US,MI,41118646.484596
14-1532,GE HEALTHCARE CARIBBEAN EXPORT LLC,US882515116,GE HEALTHCARE TECHNOLOGIES INC.,US,IL,18016935.64963
61-412,AMERICAN HOME ASSURANCE COMPANY,US132592361,AMERICAN INTERNATIONAL GROUP INC.,US,NY,32039240.596306
90-812,BDO USA CORP.,US253156829L,BDO USA LLP,US,IL,1809953.938846
125-1532,"VEOLIA ES TECHNICAL SOLUTIONS, L.L.C.",FR403210032,VEOLIA ENVIRONNEMENT,FR,,42150225.735829
133-412,FIDELITY AND DEPOSIT COMPANY OF MARYLAND,CHCHE101236480,ZURICH INSURANCE GROUP AG,CH,,36031138.162991
140-1532,VIATRIS PHARMACEUTICALS LLC,US135315170,PFIZER INC,US,NY,68532673.18605
158-122,THE ASSOCIATED PRESS,US135654887L,"ASSOCIATED PRESS USA LLC, THE",US,NY,931221.301536
58-1532,ARECIBO SENIOR HOUSING INVESTORS G.P. LLC,US138804114L,ARECIBO SENIOR HOUSING INVESTORS,US,CA,781803.08794
144-122,THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,US131866329L,LDS FAMILY SERVICES,US,UT,1104640.886028
148-1532,MOLSON COORS PUERTO RICO LLC,US327191015L,MOLSON COORS PUERTO RICO LLC,US,WI,799711.295263
161-1532,"KEPNER-TREGOE PUERTO RICO, LLC",US366073046L,KEPNER-TREGOE PUERTO RICO LLC,US,DE,804389.372216
1-1533,DS REP B.V. LLC,US391434669,DENTSPLY SIRONA INC.,US,NC,3614076.309767
16-1532,"ORTHO BIOLOGICS, LLC",US221024240,JOHNSON & JOHNSON,US,NJ,78473051.094195
94-1532,ETHICON LLC,US221024240,JOHNSON & JOHNSON,US,NJ,78473051.094195
151-412,STEWART TITLE GUARANTY COMPANY,US741677330,STEWART INFORMATION SERVICES CORP,US,TX,2499537.618621
1-412,"CUMIS INSURANCE SOCIETY, INC",US390230590,CMFG LIFE INSURANCE CO.,US,WI,4933444.213013
2-1533,"HEWLETT PACKARD PUERTO RICO, BV LLC",US473298624,HEWLETT PACKARD ENTERPRISE COMPANY,US,CA,26847559.790228
68-812,DELOITTE TAX LLP,US144597670L,DELOITTE CONSULTING (HOLDING SUB) LLC,US,NY,1789800.221184
70-812,"DELOITTE, LLP",US144597670L,DELOITTE CONSULTING (HOLDING SUB) LLC,US,NY,1789800.221184
86-1532,GENPACT SERVICES LLC,US410662818L,GENPACT SERVICES LLC,US,TX,804389.372216
191-412,NATIONWIDE LIFE INSURANCE COMPANY,US314177100,NATIONWIDE MUTUAL INSURANCE CO.,US,OH,16409863.502762
255-1532,"FIRSTSOURCE ADVANTAGE, LLC",US365650139L,FIRSTSOURCE ADVANTAGE LLC,US,MN,1152801.769573
261-1532,"MONSANTO CARIBE, LLC",US431878297,MONSANTO CO,US,MO,7560535.900649
301-122,AARP,US131197635L,AMERICAN ASSOCIATION OF RETIRED PERSONS (FN),US,DC,5217516.0979
317-122,"AMERICAN HEART ASSOCIATION, INC.",US129577761L,AMERICAN HEART ASSOCIATION INC.,US,TX,1906995.10209
335-112,SOL PUERTO RICO LIMITED,GB04306979,SOL INVESTMENTS LIMITED,GB,,882933.928219
339-1531,CROWN CASTLE PR LLC,US378817922L,CROWN CASTLE PR LLC,US,PR,1015546.633334
409-1532,"KADMON PHARMACEUTICALS, LLC",FR395030844,SANOFI,FR,,43855809.660462
168-1532,AFL TELECOMMUNICATIONS LLC,JP2010601007861,FUJIKURA LTD,JP,,5567405.03056
303-312,"CITIBANK, N.A.",US521568099,CITIGROUP INC,US,NY,69636879.590031
407-122,"NOVA SOUTHEASTERN UNIVERSITY, INC.",US130941100L,NOVA SOUTHEASTERN UNIVERSITY INC.,US,FL,960998.023423
231-412,METROPOLITAN LIFE INSURANCE COMPANY,US134075851,METLIFE INC.,US,NY,50665336.662383
293-412,ALLSTATE INSURANCE COMPANY,US363871531,THE ALLSTATE CORP.,US,IL,46007149.12791
324-1532,"JANSSEN-CILAG MANUFACTURING, LLC",US221024240,JOHNSON & JOHNSON,US,NJ,78473051.094195
413-1532,FORD MOTOR CREDIT COMPANY LLC,US380549190,FORD MOTOR CO,US,MI,162358071.381886
436-1532,"WYNDHAM VACATION RESORTS PUERTO RICO, LLC",US368212646L,"WYNDHAM VACATION RESORTS PUERTO RICO, LLC",US,DE,781803.08794
453-122,"ASOCIACION DE CAPELLANES AHIEZER, INC.",US317843624L,"ASOCIACION DE CAPELLANES AHIEZER,INC.",US,FL,831268.468123
453-1532,"METROPOLITAN HOUSING FOR THE ELDERLY, LLC",US368159822L,"METROPOLITAN HOUSING FOR THE ELDERLY, LLC",US,DE,804389.372216
460-1532,"NEW HOLLAND CREDIT COMPANY, LLC",NL56532474,CNH INDUSTRIAL N.V,NL,,21630095.72292
464-1532,"BROWN-FORMAN-WORLDWIDE, L.L.C.",US371054834L,"WOLF PEN BRANCH, LP",US,DE,3896056.540388
485-122,CNA CORPORATION,US132646102,LOEWS CORP.,US,NY,8016038.953733
493-412,"CUMIS INSURANCE SOCIETY, INC",US390230590,CMFG LIFE INSURANCE CO.,US,WI,4933444.213013
495-412,CMFG LIFE INSURANCE COMPANY,US390230590,CMFG LIFE INSURANCE CO.,US,WI,4933444.213013
498-122,UNIVERSITY OF MIAMI,US131211611L,THE UNIVERSITY OF MIAMI,US,FL,2473280.766624
499-1532,"CTP PLAZA, LLC",US368279534L,"CTP PLAZA, LLC",US,DE,804389.372216
520-122,"RECYCLING FOR A BETTER TOMORROW, A SCHNITZER STEEL INDUSTRIES CHARITABLE FOUNDATION CORPORATION",US930341923,RADIUS RECYCLING INC,US,OR,2655937.240994
530-122,BATTELLE MEMORIAL INSTITUTE,US128528655L,"BATTELLE MEMORIAL INSTITUTE, INC.",US,OH,1035065.188155
546-112,MCCANN-ERICKSON CORPORATION (SA.),US131024020,INTERPUBLIC GROUP OF COMPANIES INC,US,NY,10034364.253604
580-112,E.R. SQUIBB & SONS INTER-AMERICAN CORPORATION,US220790350,BRISTOL-MYERS SQUIBB COMPANY,US,NY,41472536.028061
621-1532,"NEUTRAL TANDEM-PUERTO RICO, LLC",SE5568828908,SINCH AB,SE,,2449869.639874
624-1532,"SBA 2012 TC ASSETS PR, LLC",US349866461L,"SBA 2012 TC ASSET, LLC",US,NC,863443.176812
650-1532,VERTEX AEROSPACE LLC,US348959429L,"VERTEX HOLDCO, INC.",US,DE,2663897.431266
714-1532,"GTP TOWERS I, LLC",US650723837,AMERICAN TOWER CORPORATION,US,MA,9870169.66393
509-122,ONESIGHT,IT00891030272,LUXOTTICA GROUP SPA,IT,,9420912.463049
556-1532,"PERSHING, LLC",US132614959,THE BANK OF NEW YORK MELLON CORPORATION,US,NY,15091229.381178
668-1532,"WIELAND METAL SERVICES CARIBE, LLC",DE8270229075,SCHWENK DONAU GMBH & CO. KG,DE,,6545532.392911
467-1532,"JORICO PROPERTIES, LLC",US313273583L,"JORICO PROPERTIES, LLC",US,MD,804389.372216
473-122,MISION EVANGELIO MUNDIAL INC.,US363291467L,MISION EVANGELISMO MUNDIAL,US,MA,804389.372216
481-122,"MINISTERIO EVANGELISTICO MI CRISTO VIVE, INC.",US308769005L,"MINISTERIO EVANGELISTICO MI CRISTO VIVE, INC.",US,FL,890921.480133
484-122,UNITED STATES FUND FOR UNICEF,US127608505L,UNITED STATES FUND FOR UNICEF,US,NY,977389.065393
632-1532,ALLY US LLC,US380572512,ALLY FINANCIAL INC,US,MI,8933062.602119
493-412,"CUMIS INSURANCE SOCIETY, INC",US390230590,CMFG LIFE INSURANCE CO.,US,WI,4933444.213013
505-112,INTERNATIONAL BUSINESS MACHINES CORPORATION,US130871985,INTERNATIONAL BUSINESS MACHINES CORP,US,NY,76429416.190344
545-1532,"ORBITZ WORLDWIDE, LLC",US202705720,"EXPEDIA GROUP, INC.",US,WA,11830994.052408
574-1532,"SABANA SECA PARTNERS, LLC",US367793261L,"SABANA SECA PARTNERS, LLC",US,DE,804389.372216
757-1532,"PEP PUERTO RICO, LLC",GBJE111714,WPP PLC (NEW),GB,,16045481.885945
759-112,DOW CHEMICAL INTER-AMERICAN LIMITED,US301128146,DOW INC.,US,MI,41118646.484596
767-1532,SAP PUERTO RICO GMBH LLC,DE7050001788,SAP SE,DE,,30341839.493679
785-1532,USI INSURANCE SERVICES LLC,US164888562L,USI INSURANCE SERVICES LLC (DE),US,NY,1875118.094483
811-1532,"CHANGE HEALTHCARE PUERTO RICO, LLC",US411321939,UNITEDHEALTH GROUP INC.,US,MN,298711641.247927
814-1532,"WORLDPAC PUERTO RICO, LLC",US542049910,"ADVANCE AUTO PARTS, INC.",US,NC,10278945.854596
855-1532,ADVANTAGE SALES & MARKETING LLC,US*B000097055,KARMAN TOPCO LP,US,,3731794.958467
870-1532,"GTP INFRASTRUCTURE III, LLC",US650723837,AMERICAN TOWER CORPORATION,US,MA,9870169.66393
901-1532,NATIONSTAR MORTGAGE LLC,US911653725,MR. COOPER GROUP INC.,US,TX,1682638.849413
918-1532,"BP FAROS DEL OESTE SPV, LLC",US368715746L,BP FAROS DEL OESTE SPV LLC,US,DE,804389.372216
977-1532,FCA SERVICE CONTRACTS LLC,NL60372958,STELLANTIS N.V.,NL,,176513883.492735
1032-1512,"GUY CARPENTER & COMPANY, LLC",US313496132L,GUY CARPENTER & CO LLC,US,DE,1072784.643925
1092-1512,SUNRISE MEDICAL (US) LLC,US135628003L,SUNRISE MEDICAL (US) LLC,US,MO,1079313.208941
1099-1532,"WALKER & DUNLOP, LLC",US800629925,WALKER & DUNLOP INC,US,MD,908555.627424
1170-1532,"GLOBAL TOWER SERVICES, LLC",US313228196L,"GLOBAL TOWER SERVICES, LLC",US,DE,1694044.947668
1106-112,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",US560906609,BANK OF AMERICA CORPORATION,US,NC,86841049.993501
1151-1532,RE DEVELOPMENT MANAGEMENT LLC,US*110158266456,LENDLEASE (US) PUBLIC PARTNERSHIPS LLC,US,,770534.27311
1006-1532,"ARC AZSNJPR001, LLC",US330580106,REALTY INCOME CORP,US,CA,3081164.221252
1236-1532,TRADEWINDS ENERGY BARCELONETA LLC,US375011528L,TRADEWINDS ENERGY BARCELONETA LLC,US,DE,804389.372216
1243-112,SEALY MATTRESS COMPANY OF PUERTO RICO,US331022198,"TEMPUR SEALY INTERNATIONAL, INC.",US,KY,4538698.981918
1267-1532,"LAJAS SOLAR PROJECT, LLC",US374387576L,"LAJAS SOLAR PROJECT, LLC",US,DE,804389.372216
1271-1532,"SOLAR PROJECT SAN JUAN, LLC",US*110313172796,SOLAR PROJECT SAN JUAN LLC,US,,804389.372216
1298-1532,"LANDFILL GAS TECHNOLOGIES OF FAJARDO, LLC",US369247775L,"LANDFILL GAS TECHNOLOGIES OF FAJARDO, LLC",US,DE,804389.372216
1321-1532,"ASHFIELD HEALTHCARE, LLC",KY*110321173408,"CD&R ULYSSES, L.P.",KY,,1178762.786024
1323-1532,"NPAS SOLUTIONS, LLC",US273865930,"HCA HEALTHCARE, INC.",US,TN,59867341.128483
1361-1532,"ALVAREZ & MARSAL PUBLIC SECTOR SERVICES, LLC",US383075672L,ALVAREZ & MARSAL PUBLIC SECTOR SERVICES LLC,US,NY,804389.372216
1514-1532,EXTENDED VEHICLE PROTECTION LLC,NL60372958,STELLANTIS N.V.,NL,,176513883.492735
1520-1532,NOVOMATIC AMERICAS SALES LLC,AT9111373766,JFG PRIVATSTIFTUNG,AT,,2465013.942413
1543-1512,"ABLE SALES SOLAR 1, LLC",US370003013L,"ABLE SALES SOLAR 1, LLC",US,DE,804389.372216
1554-1512,"CDK GLOBAL, LLC",CA90013NC,BROOKFIELD CORPORATION,CA,ON,85485563.685245
1330-1512,LPL FINANCIAL LLC,US203717839,LPL FINANCIAL HOLDINGS INC.,US,MA,9263593.10254
1424-1532,"NORESCO PUERTO RICO, LLC",US834051582,CARRIER GLOBAL CORP,US,FL,20363050.239532
1556-1512,"ADP, INC.",US333164960L,A.D.P. LLC,US,CA,886649.549442
1518-1532,MERCK SHARP & DOHME (I.A.) LLC,US221918501,"MERCK & CO., INC.",US,NJ,55395284.228487
1297-112,"ARAMARK SERVICES OF PUERTO RICO, INC.",US208236097,ARAMARK,US,PA,17373610.108331
1698-112,XEROX CORPORATION,US833933743,XEROX HOLDINGS CORPORATION,US,CT,6345370.24597
2132-112,"FLUOR DANIEL CARIBBEAN, INC.",US330927079,FLUOR CORP,US,TX,12664945.251354
1878-112,KIMBERLY-CLARK COMMERCIAL INC.,US390394230,KIMBERLY CLARK CORP,US,TX,18826923.52805
1990-112,"KELLY SERVICES, INC.",US381510762,KELLY SERVICES INC,US,MI,5068614.237162
2430-112,DIEBOLD NIXDORF INCORPORATED,US340183970,"DIEBOLD NIXDORF, INC",US,OH,3998775.277567
2523-112,"DELTA AIR LINES, INC.",US580218548,"DELTA AIR LINES, INC.",US,GA,53490606.162624
2503-112,"MARS, INCORPORATED",US132070844L,"MARS, INCORPORATED (HQ)",US,VA,24769372.469079
2721-112,ECOLAB MANUFACTURING INC.,US410231510,ECOLAB INC,US,MN,14117399.843358
2855-112,"PPG INDUSTRIES, INC.",US250730780,PPG INDUSTRIES INC,US,PA,16813501.47096
2872-112,"CARIBBEAN REFRESCOS, INC.",US580628465,COCA-COLA COMPANY (THE),US,GA,42161801.480203
3068-112,"FLAGG BROS. OF PUERTO RICO, INC.",US620211340,GENESCO INC,US,TN,2197649.448259
3511-112,"B, F & K MANAGEMENT COMPANY, INC.",US3511-112,"B, F & K MANAGEMENT COMPANY, INC",US,PR,914402.253747
3360-112,"H & R BLOCK, INC.",US440607856,"H&R BLOCK, INC.",US,MO,3334235.533825
3578-112,"AMERICAN AIRLINES, INC.",US751825172,AMERICAN AIRLINES GROUP INC.,US,TX,48643587.109519
3814-112,"AVON PRODUCTS, INC.",KR1101110003543,LG CORP.,KR,,6299313.256644
3837-112,BECKMAN COULTER PUERTO RICO INC.,US591995548,DANAHER CORP,US,DC,22014387.951795
3889-112,FOXBORO CONTROLES S.A.,FR542048574,SCHNEIDER ELECTRIC SE,FR,,36557033.758083
4091-112,"VEOLIA WTS INTERNATIONAL USA, INC.",FR403210032,VEOLIA ENVIRONNEMENT,FR,,42150225.735829
4032-112,"SAFETY-KLEEN ENVIROSYSTEMS COMPANY OF PUERTO RICO, INC.",US042997780,CLEAN HARBORS INC,US,MA,4760972.625161
4495-112,"SYNTEX PUERTO RICO, INC.",CHCHE111788344,ARTUMA HOLDING GMBH,CH,,65267114.415531
4643-112,ELECTROLUX PUERTO RICO CORPORATION,SE5560094178,AB ELECTROLUX,SE,,12338193.557897
4752-112,"ALLERGAN SALES PUERTO RICO, INC.",US352038545L,"ALLERGAN SALES PUERTO RICO, INC.",US,IL,781803.08794
4957-1512,"WHEELS, LLC",US367519823L,"SJC WHEELS, LLC",US,DE,1346374.348928
4687-112,"CROWN BEVERAGE PACKAGING PUERTO RICO, INC.",US753099507,"CROWN HOLDINGS, INC.",US,PA,11067080.62222
5457-112,TEXTRON INC.,US050315468,TEXTRON INC,US,RI,13080358.370348
5011-112,THE SHERWIN-WILLIAMS COMPANY,US340526850,SHERWIN WILLIAMS COMPANY (THE),US,OH,21242059.484381
5410-112,"JOHN CRANE CARIBE, LTD.",GB00137013,SMITHS GROUP PLC,GB,,3600487.757048
5539-112,"AVON-LOMALINDA, INC.",KR1101110003543,LG CORP.,KR,,6299313.256644
5590-112,"INSIGHT OPTICAL MANUFACTURING COMPANY OF FLORIDA, INC.",NL50338269,GRANDVISION B.V.,NL,,4126223.934549
6033-112,FEDERAL EXPRESS CORPORATION,US621721435,FEDEX CORP,US,TN,83076846.821042
5807-112,ILLINOIS TOOL WORKS INC.,US361258310,ILLINOIS TOOL WORKS INC,US,IL,14937190.740655
5625-112,AMWAY DE PUERTO RICO INC,US364790327L,AMWAY DE PUERTO RICO INC.,US,MI,1568005.990809
5620-112,"U.S.S.C. PUERTO RICO (NY), INC.",US303702293L,"U.S.S.C. PUERTO RICO (NY), INC.",US,MA,804389.372216
6193-112,HILTON INTERNATIONAL OF PUERTO RICO LLC,US274384691,HILTON WORLDWIDE HOLDINGS INC.,US,VA,9431447.846381
6371-112,ROCHE PRODUCTS INC.,CHCHE111788344,ARTUMA HOLDING GMBH,CH,,65267114.415531
6379-112,BOSE CORPORATION,US126254398L,BOSE CORPORATION,US,MA,1687606.285035
6479-112,EMD MILLIPORE CORPORATION,DE6050002994,E. MERCK KG,DE,,21850948.061583
6336-112,JOHNSON & JOHNSON INTERNATIONAL,US221024240,JOHNSON & JOHNSON,US,NJ,78473051.094195
6423-112,UBS FINANCIAL SERVICES INC.,CHCHE395345924,UBS GROUP AG,CH,,64283070.172538
6874-112,THE COCA-COLA COMPANY,US580628465,COCA-COLA COMPANY (THE),US,GA,42161801.480203
6985-112,"HYATT HOTELS OF PUERTO RICO, INC.",US201480589,HYATT HOTELS CORPORATION,US,IL,5428486.60674
6994-112,"UNITED PARCEL SERVICE, INC.",US582480149,UNITED PARCEL SERVICE INC,US,GA,94072799.682138
6995-112,UNITED PARCEL SERVICE CO.,US582480149,UNITED PARCEL SERVICE INC,US,GA,94072799.682138
7090-112,WHIRLPOOL CORPORATION,US381490038,WHIRLPOOL CORP,US,MI,19654689.927246
6597-112,"CARRIER (PUERTO RICO), INC.",US834051582,CARRIER GLOBAL CORP,US,FL,20363050.239532
6767-112,"RENTOKIL OF PUERTO RICO, INC.",GB05393279,RENTOKIL INITIAL PLC,GB,,4130161.456895
6786-112,"COLGATE PALMOLIVE DE PUERTO RICO, INC.",US131815595,COLGATE PALMOLIVE CO,US,NY,17929416.313726
7388-112,INTERGRAPH CORPORATION,SE5561904771,HEXAGON AB,SE,,5534371.770603
7395-112,"GENENTECH P.R. , INC.",CHCHE111788344,ARTUMA HOLDING GMBH,CH,,65267114.415531
7634-112,"BANCTEC (PUERTO RICO), INC.",US471347291,"EXELA TECHNOLOGIES, INC.",US,TX,992587.551482
7732-112,"GRAYBAR INTERNATIONAL, INC.",US130794380,"GRAYBAR ELECTRIC COMPANY, INC.",US,MO,9707327.820057
7787-112,LYONDELL CHEMICAL COMPANY,NL24473890,LYONDELLBASELL INDUSTRIES N.V.,NL,,47676908.326064
7633-112,ARAMARK UNIFORM MANUFACTURING COMPANY,US208236097,ARAMARK,US,PA,17373610.108331
8004-112,MYCOGEN SEEDS-PUERTO RICO CORPORATION,US824979096,"CORTEVA, INC",US,DE,16084581.584203
8118-112,"WESTERN AUTO OF PUERTO RICO, INC.",US542049910,"ADVANCE AUTO PARTS, INC.",US,NC,10278945.854596
8128-112,EQUITABLE FINANCIAL LIFE INSURANCE COMPANY,US900226248,EQUITABLE HOLDINGS INC.,US,NY,16891469.85568
8295-112,"CORTEVA AGRISCIENCE PUERTO RICO, INC.",US824979096,"CORTEVA, INC",US,DE,16084581.584203
8373-112,INTERBORO SYSTEMS CORPORATION,US372081938L,UNITE PARENT CORP.,US,DE,1050998.156781
8465-112,"JOSTENS, INC.",US363514169,NEWELL BRANDS INC.,US,GA,7494463.298907
8469-112,"NOVUS INTERNATIONAL, INC.",JP1010001008767,MITSUI & CO LTD,JP,,98765201.972789
8520-112,"PEPSICO PUERTO RICO, INC.",US131584302,PEPSICO INC,US,NY,84289563.158053
7971-112,ELI LILLY EXPORT S.A.,US350470950,ELI LILLY AND COMPANY,US,IN,31444965.912593
8161-112,"MCGRAW-HILL INTERAMERICANA, INC.",US131026995,S&P GLOBAL INC.,US,NY,11515847.590972
8503-112,"ARROW ELECTRONICS, INC.",US111806155,ARROW ELECTRONICS INC,US,CO,34806337.719719
8594-112,"CANON MEDICAL SYSTEMS USA, INC.",JP6010801003186,CANON INCORPORATED,JP,,28005310.231987
8463-112,J.P.MORGAN SECURITIES LLC,US132624428,JPMORGAN CHASE & CO,US,NY,135648759.816555
9054-112,"DE LAGE LANDEN FINANCIAL SERVICES, INC.",NL30046259,COOPERATIEVE RABOBANK U.A.,NL,,15686082.75996
9009-112,MARRIOTT P.R. MANAGEMENT CORPORATION,US349907474L,MARRIOTT PR MANAGEMENT CORP,US,DC,804389.372216
8894-112,WESCO ANIXTER PUERTO RICO INC.,US251723342,"WESCO INTERNATIONAL, INC.",US,PA,20627696.34124
9176-112,"LINCOLN FINANCIAL DISTRIBUTORS, INC.",US351140070,LINCOLN NATIONAL CORP,US,IN,17287138.505379
8632-112,"HAMILTON SUNDSTRAND DE PUERTO RICO, INC.",US060570975,RTX CORP,US,MA,63509074.731587
8813-112,BMO CAPITAL MARKETS CORP,CAFEB33408,BANK OF MONTREAL,CA,QC,19315346.774396
8859-112,CONGAR INTERNATIONAL CORPORATION,GB03236483,IMPERIAL BRANDS PLC,GB,,36710899.377952
8965-112,"UPS SUPPLY CHAIN SOLUTIONS, INC.",US582480149,UNITED PARCEL SERVICE INC,US,GA,94072799.682138
9109-112,"CHARLES SCHWAB & CO ., INC.",US943025021,"CHARLES SCHWAB CORPORATION, THE",US,TX,19227787.814466
9363-112,"UNITED AIRLINES, INC.",US362675207,"UNITED AIRLINES HOLDINGS, INC",US,IL,49499604.283211
9405-112,"PEP BOYS-MANNY, MOE & JACK OF PUERTO RICO, INC.",US133398766,ICAHN ENTERPRISES L.P.,US,FL,12862131.910428
9745-112,GLORY GLOBAL SOLUTIONS INC.,JP5140001058614,GLORY LTD.,JP,,1766329.122223
9908-112,"COMPASS GROUP USA, INC.",GB04083914,COMPASS GROUP PLC,GB,,35075178.139173
9936-112,MANPOWERGROUP  INC.,US391672779,MANPOWERGROUP INC.,US,WI,19206278.531438
9481-112,"CCL PUERTO RICO, INC.",CA*H00089252167,1281228 ONTARIO INC,CA,,4323404.1432
9946-112,"W.L. GORE & ASSOCIATES, INC.",US149091618L,"W.L. GORE & ASSOCIATES, INC.",US,DE,1875118.094483
10067-112,"NTT DATA EAS, INC.",US364836272L,"NTT DATA EAS, INC.",US,IL,804389.372216
10069-112,"AVERITT EXPRESS, INC.",US128990888L,"AVERITT EXPRESS, INC.",US,TN,1964186.203971
10139-112,"MITSUBISCHI ELECTRIC POWER PRODUCTS, INC.",JP4010001008772,MITSUBISHI ELECTRIC CORPORATION,JP,,34543374.878329
10233-112,"THE RITZ-CARLTON HOTEL COMPANY OF PUERTO RICO, INC.",US522055918,MARRIOTT INTERNATIONAL INC,US,MD,21851280.719099
10344-112,"FMC AGRICULTURAL CARIBE INDUSTRIES, LTD.",US940479804,FMC CORP,US,PA,4134535.76501
10544-112,"CHICO'S FAS, INC.",KY30346FH,DAPHNE INTERNATIONAL HOLDINGS LIMITED,KY,,2436478.920706
10553-112,IGT,IT02324900030,B&D HOLDING S.P.A.,IT,,4372357.04651
10561-112,BECTON DICKINSON CARIBE LTD.,US220760120,"BECTON, DICKINSON AND COMPANY",US,NJ,17851070.400464
10575-112,"SOUTHEASTERN FREIGHT LINES, INC.",US120508262L,"SOUTHEASTERN FREIGHT LINES, INC.",US,SC,1078192.904328
10619-112,"STANLEY BLACK & DECKER, INC.",US060548860,"STANLEY BLACK & DECKER, INC.",US,CT,15889188.197224
